engine_variant,stack_id,stack_description,feature_set,feature_count,threshold_mode,signal_layer_mode,portfolio_mapping,fold_id,train_start,train_end,test_start,test_end,test_year,train_score,train_return_drawdown_ratio,train_total_return,train_max_drawdown,train_accuracy,test_score,test_return_drawdown_ratio,test_total_return,test_max_drawdown,test_accuracy,train_test_score_delta
Robust Astro Engine v1,R,"Astro Engine + Raw Astro Recovery substrate + Feature Selection + ML, with default thresholds and spot-style mapping.",selected,153,default,none,spot,1,2014-10-17,2018-12-31,2019-01-01,2019-12-31,2019,2290.0813501483326,8780.507144930503,1776.9143663090208,-0.20237035708523243,0.8239947264337508,2.45479302464502,7.258798003296331,1.0948096391041342,-0.15082519703771402,0.5205479452054794,-2287.6265571236877
Robust Astro Engine v1,R,"Astro Engine + Raw Astro Recovery substrate + Feature Selection + ML, with default thresholds and spot-style mapping.",selected,153,default,none,spot,2,2015-01-01,2019-12-31,2020-01-01,2020-12-31,2020,6308.398894535747,24193.743846786474,4896.096581502827,-0.20237035708523254,0.8006644518272426,7.639342574158901,27.43746063351439,3.721337808246166,-0.13562981858826306,0.6202185792349727,-6300.759551961588
Robust Astro Engine v1,R,"Astro Engine + Raw Astro Recovery substrate + Feature Selection + ML, with default thresholds and spot-style mapping.",selected,153,default,none,spot,3,2016-01-01,2020-12-31,2021-01-01,2021-12-31,2021,6245.251883453129,23951.41041448925,4847.055478275145,-0.20237035708523243,0.776135741652983,0.09327272709677997,1.2285554123919147,0.6428626354154887,-0.5232671061729959,0.5589041095890411,-6245.158610726033
Robust Astro Engine v1,R,"Astro Engine + Raw Astro Recovery substrate + Feature Selection + ML, with default thresholds and spot-style mapping.",selected,153,default,none,spot,4,2017-01-01,2021-12-31,2022-01-01,2022-12-31,2022,12485.80632912192,47888.252169942476,9691.162691818921,-0.20237035708523254,0.7864184008762322,-0.670423681134891,-0.4620754867383384,-0.15597342386807123,-0.3375496609202189,0.473972602739726,-12486.476752803055
Robust Astro Engine v1,R,"Astro Engine + Raw Astro Recovery substrate + Feature Selection + ML, with default thresholds and spot-style mapping.",selected,153,default,none,spot,5,2018-01-01,2022-12-31,2023-01-01,2023-12-31,2023,495.55596487457615,2012.8744907314851,308.0416047446512,-0.15303567418786646,0.7853231106243155,4.056079377046984,14.218652117988373,0.528266695556936,-0.03715307830681169,0.4520547945205479,-491.49988549752914
Robust Astro Engine v1,R,"Astro Engine + Raw Astro Recovery substrate + Feature Selection + ML, with default thresholds and spot-style mapping.",selected,153,default,none,spot,6,2019-01-01,2023-12-31,2024-01-01,2024-12-31,2024,419.3059447551919,1576.7499838468668,344.7698563334141,-0.21865854438905008,0.7628696604600219,1.1149270059170708,3.252124206171382,0.6815996496229724,-0.20958598331808398,0.5027322404371585,-418.1910177492748
Robust Astro Engine v1,R,"Astro Engine + Raw Astro Recovery substrate + Feature Selection + ML, with default thresholds and spot-style mapping.",selected,153,default,none,spot,7,2020-01-01,2024-12-31,2025-01-01,2025-12-31,2025,201.5163572548007,706.6487290090321,199.34034961984224,-0.2820925608956899,0.7887246852764094,-0.5503191758293051,-0.4804005467831642,-0.11299214312173333,-0.23520402688620168,0.4575342465753425,-202.06667643063003
Robust Astro Engine v1,R,"Astro Engine + Raw Astro Recovery substrate + Feature Selection + ML, with default thresholds and spot-style mapping.",selected,153,default,none,spot,8,2021-01-01,2025-12-31,2026-01-01,2026-05-30,2026,128.42956834133426,441.9696601071635,132.5995700663323,-0.3000196213336932,0.7732749178532311,-0.6179609866856444,-0.4313115978254123,-0.09180600574538378,-0.2128530885982466,0.48,-129.0475293280199
Current Production Stack,P,"Current production candidate using tuned thresholds, signal layer, regime layer, and long/short mapping.",selected,153,tuned,signal_plus_regime,long_short,1,2014-10-17,2018-12-31,2019-01-01,2019-12-31,2019,1905.8306877017412,6222.605768966482,2202.5114357308335,-0.35395323398362266,0.8239947264337508,1.9899683700073652,5.856127906899205,1.532899680806008,-0.261759938508186,0.5205479452054794,-1903.840719331734
Current Production Stack,P,"Current production candidate using tuned thresholds, signal layer, regime layer, and long/short mapping.",selected,153,tuned,signal_plus_regime,long_short,2,2015-01-01,2019-12-31,2020-01-01,2020-12-31,2020,3966.7515886702636,12551.201037254075,4853.731961639427,-0.38671454207710754,0.8006644518272426,0.238029502323603,1.390061080893009,0.7087653087632535,-0.5098806940972158,0.6202185792349727,-3966.51355916794
Current Production Stack,P,"Current production candidate using tuned thresholds, signal layer, regime layer, and long/short mapping.",selected,153,tuned,signal_plus_regime,long_short,3,2016-01-01,2020-12-31,2021-01-01,2021-12-31,2021,4003.905735595188,12851.980103646802,4777.021700363573,-0.37169538560117077,0.776135741652983,0.13031089221901432,1.252415510246918,0.6645548445568752,-0.5306185040984169,0.5589041095890411,-4003.7754247029693
Current Production Stack,P,"Current production candidate using tuned thresholds, signal layer, regime layer, and long/short mapping.",selected,153,tuned,signal_plus_regime,long_short,4,2017-01-01,2021-12-31,2022-01-01,2022-12-31,2022,6698.991807460585,21503.870124486526,7992.889297838515,-0.37169538560117077,0.7864184008762322,0.48738246653327827,1.8200308191726435,0.4830545932333965,-0.26541011731492836,0.473972602739726,-6698.504424994052
Current Production Stack,P,"Current production candidate using tuned thresholds, signal layer, regime layer, and long/short mapping.",selected,153,tuned,signal_plus_regime,long_short,5,2018-01-01,2022-12-31,2023-01-01,2023-12-31,2023,305.4123174968524,865.6197653468913,441.36280677934184,-0.5098806940972156,0.7853231106243155,0.5364362550654906,1.7900793584649193,0.28207424798413583,-0.15757639271704038,0.4520547945205479,-304.8758812417869
Current Production Stack,P,"Current production candidate using tuned thresholds, signal layer, regime layer, and long/short mapping.",selected,153,tuned,signal_plus_regime,long_short,6,2019-01-01,2023-12-31,2024-01-01,2024-12-31,2024,701.5166381986891,1987.4198623462112,1013.3470188756786,-0.5098806940972155,0.7628696604600219,0.3153352222753857,1.369531216030887,0.383022972020278,-0.27967451018045264,0.5027322404371585,-701.2013029764137
Current Production Stack,P,"Current production candidate using tuned thresholds, signal layer, regime layer, and long/short mapping.",selected,153,tuned,signal_plus_regime,long_short,7,2020-01-01,2024-12-31,2025-01-01,2025-12-31,2025,742.289122866911,2102.834684806087,1072.1948086606271,-0.5098806940972156,0.7887246852764094,0.15037810174464808,0.9019379061025798,0.22565221759107823,-0.25018597850727675,0.4575342465753425,-742.1387447651664
Current Production Stack,P,"Current production candidate using tuned thresholds, signal layer, regime layer, and long/short mapping.",selected,153,tuned,signal_plus_regime,long_short,8,2021-01-01,2025-12-31,2026-01-01,2026-05-30,2026,430.0499411011985,1436.2060536035563,475.00034924689464,-0.33073273020614324,0.7732749178532311,-0.812474788929986,-0.47809569819712644,-0.16882291422889184,-0.35311531742601765,0.48,-430.8624158901285
