stack_id,stack_name,stack_description,feature_set,feature_count,threshold_mode,signal_layer_mode,portfolio_mapping,fold_id,train_start,train_end,test_start,test_end,test_year,train_score,train_return_drawdown_ratio,train_total_return,train_max_drawdown,train_accuracy,test_score,test_return_drawdown_ratio,test_total_return,test_max_drawdown,test_accuracy,train_test_score_delta
A,Astro Engine only,Base classifier on the live Astro Engine dataset with default thresholds and spot-style capital mapping.,all,422,default,none,spot,1,2014-10-17,2018-12-31,2019-01-01,2019-12-31,2019,1988.244544927163,7331.328341402614,1737.1513186734614,-0.2369490544930516,0.8299274884640738,0.6978265816676026,2.114062116044878,0.33188701280979727,-0.15699018978246138,0.5013698630136987,-1987.5467183454953
A,Astro Engine only,Base classifier on the live Astro Engine dataset with default thresholds and spot-style capital mapping.,all,422,default,none,spot,2,2015-01-01,2019-12-31,2020-01-01,2020-12-31,2020,5964.016097208587,22739.526374320594,4717.718981923155,-0.20746777678055794,0.8056478405315615,4.421889960498114,14.192612413228037,2.7716986644626025,-0.19529164777862018,0.6147540983606558,-5959.594207248088
A,Astro Engine only,Base classifier on the live Astro Engine dataset with default thresholds and spot-style capital mapping.,all,422,default,none,spot,3,2016-01-01,2020-12-31,2021-01-01,2021-12-31,2021,7305.222037525608,28017.094866403262,5669.829492604864,-0.20237035708523254,0.7684729064039408,0.3082725187440647,1.5939542799050999,0.8457816356045136,-0.530618504098417,0.5397260273972603,-7304.913765006864
A,Astro Engine only,Base classifier on the live Astro Engine dataset with default thresholds and spot-style capital mapping.,all,422,default,none,spot,4,2017-01-01,2021-12-31,2022-01-01,2022-12-31,2022,11444.387628589324,44803.55553854575,8276.222163885725,-0.18472244143136052,0.8028477546549836,-1.7177983348834032,-0.9597125905629451,-0.6231947150371264,-0.649355568703725,0.4547945205479452,-11446.105426924207
A,Astro Engine only,Base classifier on the live Astro Engine dataset with default thresholds and spot-style capital mapping.,all,422,default,none,spot,5,2018-01-01,2022-12-31,2023-01-01,2023-12-31,2023,727.2869896598461,2911.691800798196,481.1447958728584,-0.1652457845095281,0.7699890470974808,7.869362531011996,31.640424349630262,0.7186873585119182,-0.0227142136455043,0.4657534246575342,-719.417627128834
A,Astro Engine only,Base classifier on the live Astro Engine dataset with default thresholds and spot-style capital mapping.,all,422,default,none,spot,6,2019-01-01,2023-12-31,2024-01-01,2024-12-31,2024,229.44787670533748,837.9278412202275,204.87673780544975,-0.2445040345086269,0.7771084337349398,1.2708262348331176,3.7442904102635173,0.6992562333186618,-0.18675267051987277,0.5109289617486339,-228.17705047050435
A,Astro Engine only,Base classifier on the live Astro Engine dataset with default thresholds and spot-style capital mapping.,all,422,default,none,spot,7,2020-01-01,2024-12-31,2025-01-01,2025-12-31,2025,223.4793810122387,789.0609969733449,217.53834129127515,-0.27569268044638096,0.8024083196496989,-0.5891651462267123,-0.5591761853379426,-0.12960581235152746,-0.23177992151650584,0.46301369863013697,-224.0685461584654
A,Astro Engine only,Base classifier on the live Astro Engine dataset with default thresholds and spot-style capital mapping.,all,422,default,none,spot,8,2021-01-01,2025-12-31,2026-01-01,2026-05-30,2026,120.38264775321267,415.0214045155646,123.84392150213978,-0.29840369714592696,0.787513691128149,-0.11421182187787039,0.11878847674493036,0.022785442468407746,-0.19181525929770105,0.52,-120.49685957509054
B,Astro + Feature Selection,Adds the selected-features pipeline while keeping default thresholds and spot-style mapping.,selected,153,default,none,spot,1,2014-10-17,2018-12-31,2019-01-01,2019-12-31,2019,2290.0813501483326,8780.507144930503,1776.9143663090208,-0.20237035708523243,0.8239947264337508,2.45479302464502,7.258798003296331,1.0948096391041342,-0.15082519703771402,0.5205479452054794,-2287.6265571236877
B,Astro + Feature Selection,Adds the selected-features pipeline while keeping default thresholds and spot-style mapping.,selected,153,default,none,spot,2,2015-01-01,2019-12-31,2020-01-01,2020-12-31,2020,6308.398894535747,24193.743846786474,4896.096581502827,-0.20237035708523254,0.8006644518272426,7.639342574158901,27.43746063351439,3.721337808246166,-0.13562981858826306,0.6202185792349727,-6300.759551961588
B,Astro + Feature Selection,Adds the selected-features pipeline while keeping default thresholds and spot-style mapping.,selected,153,default,none,spot,3,2016-01-01,2020-12-31,2021-01-01,2021-12-31,2021,6245.251883453129,23951.41041448925,4847.055478275145,-0.20237035708523243,0.776135741652983,0.09327272709677997,1.2285554123919147,0.6428626354154887,-0.5232671061729959,0.5589041095890411,-6245.158610726033
B,Astro + Feature Selection,Adds the selected-features pipeline while keeping default thresholds and spot-style mapping.,selected,153,default,none,spot,4,2017-01-01,2021-12-31,2022-01-01,2022-12-31,2022,12485.80632912192,47888.252169942476,9691.162691818921,-0.20237035708523254,0.7864184008762322,-0.670423681134891,-0.4620754867383384,-0.15597342386807123,-0.3375496609202189,0.473972602739726,-12486.476752803055
B,Astro + Feature Selection,Adds the selected-features pipeline while keeping default thresholds and spot-style mapping.,selected,153,default,none,spot,5,2018-01-01,2022-12-31,2023-01-01,2023-12-31,2023,495.55596487457615,2012.8744907314851,308.0416047446512,-0.15303567418786646,0.7853231106243155,4.056079377046984,14.218652117988373,0.528266695556936,-0.03715307830681169,0.4520547945205479,-491.49988549752914
B,Astro + Feature Selection,Adds the selected-features pipeline while keeping default thresholds and spot-style mapping.,selected,153,default,none,spot,6,2019-01-01,2023-12-31,2024-01-01,2024-12-31,2024,419.3059447551919,1576.7499838468668,344.7698563334141,-0.21865854438905008,0.7628696604600219,1.1149270059170708,3.252124206171382,0.6815996496229724,-0.20958598331808398,0.5027322404371585,-418.1910177492748
B,Astro + Feature Selection,Adds the selected-features pipeline while keeping default thresholds and spot-style mapping.,selected,153,default,none,spot,7,2020-01-01,2024-12-31,2025-01-01,2025-12-31,2025,201.5163572548007,706.6487290090321,199.34034961984224,-0.2820925608956899,0.7887246852764094,-0.5503191758293051,-0.4804005467831642,-0.11299214312173333,-0.23520402688620168,0.4575342465753425,-202.06667643063003
B,Astro + Feature Selection,Adds the selected-features pipeline while keeping default thresholds and spot-style mapping.,selected,153,default,none,spot,8,2021-01-01,2025-12-31,2026-01-01,2026-05-30,2026,128.42956834133426,441.9696601071635,132.5995700663323,-0.3000196213336932,0.7732749178532311,-0.6179609866856444,-0.4313115978254123,-0.09180600574538378,-0.2128530885982466,0.48,-129.0475293280199
C,Astro + Feature Selection + Threshold Tuning,Adds tuned long/short thresholds on top of selected features.,selected,153,tuned,none,spot,1,2014-10-17,2018-12-31,2019-01-01,2019-12-31,2019,648.9010350983888,2383.549227644935,572.0891595334705,-0.24001566776899463,0.8239947264337508,0.6650905911181293,2.025195121227134,0.5620969555679862,-0.27755199964504784,0.5205479452054794,-648.2359445072707
C,Astro + Feature Selection + Threshold Tuning,Adds tuned long/short thresholds on top of selected features.,selected,153,tuned,none,spot,2,2015-01-01,2019-12-31,2020-01-01,2020-12-31,2020,1792.7918829486914,6461.932298602693,1666.4258162710926,-0.25788351521903674,0.8006644518272426,3.9608129402145558,11.594853032694187,3.304889984887957,-0.28503077836080437,0.6202185792349727,-1788.831070008477
C,Astro + Feature Selection + Threshold Tuning,Adds tuned long/short thresholds on top of selected features.,selected,153,tuned,none,spot,3,2016-01-01,2020-12-31,2021-01-01,2021-12-31,2021,4712.136081347277,17558.99534072782,3999.036623560537,-0.22774860098543526,0.776135741652983,0.45813166630516644,1.9056358333710077,1.011165635259664,-0.5306185040984168,0.5589041095890411,-4711.677949680971
C,Astro + Feature Selection + Threshold Tuning,Adds tuned long/short thresholds on top of selected features.,selected,153,tuned,none,spot,4,2017-01-01,2021-12-31,2022-01-01,2022-12-31,2022,9755.215718556681,36561.36390586626,8141.071441859745,-0.22266870193410682,0.7864184008762322,-1.3614341515598485,-0.9175665610177494,-0.49014661343932664,-0.5341809894376102,0.473972602739726,-9756.577152708242
C,Astro + Feature Selection + Threshold Tuning,Adds tuned long/short thresholds on top of selected features.,selected,153,tuned,none,spot,5,2018-01-01,2022-12-31,2023-01-01,2023-12-31,2023,121.6361356081351,414.2134441310292,128.9913227326391,-0.3114126896659466,0.7853231106243155,2.5708477730862347,7.6527629535481285,0.6946101141707881,-0.09076592576916798,0.4520547945205479,-119.06528783504888
C,Astro + Feature Selection + Threshold Tuning,Adds tuned long/short thresholds on top of selected features.,selected,153,tuned,none,spot,6,2019-01-01,2023-12-31,2024-01-01,2024-12-31,2024,308.93586086519684,1071.5485113924135,314.3111477412262,-0.2933242353468417,0.7628696604600219,1.3817228632181096,4.0999210960333095,0.8382804272895894,-0.20446257565801185,0.5027322404371585,-307.55413800197874
C,Astro + Feature Selection + Threshold Tuning,Adds tuned long/short thresholds on top of selected features.,selected,153,tuned,none,spot,7,2020-01-01,2024-12-31,2025-01-01,2025-12-31,2025,364.96202178684354,1236.4725792397812,391.2229416751313,-0.31640244049380084,0.7887246852764094,-0.6366732155515398,-0.506016606062942,-0.14088932772328266,-0.2784282690235621,0.4575342465753425,-365.59869500239506
C,Astro + Feature Selection + Threshold Tuning,Adds tuned long/short thresholds on top of selected features.,selected,153,tuned,none,spot,8,2021-01-01,2025-12-31,2026-01-01,2026-05-30,2026,82.72496434168363,269.6967050300869,95.77202324726521,-0.3551100976060536,0.7732749178532311,-0.7353799476933105,-0.46167264611811976,-0.1422910827753917,-0.30820773977366267,0.48,-83.46034428937693
